"check_id","pass","detail","checked_on","source"
"M_pool_weak_support_branch_0006",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0006",TRUE,"exists=TRUE; E=0.88571429; B=0.78071429; C=0.61428571; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0006",TRUE,"E-C=0.27142857; o1-c=0.27142857","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_o0_ge_c_0006",TRUE,"o0=0.05000000; c=0.02857143","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0006",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0006",TRUE,"limit=0.55342857; K=0.70842857","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0007",TRUE,"enumerated=0.90000000; E=0.90000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0007",TRUE,"feasible=TRUE; enumerated=0.79000000; B=0.79000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0007",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.62500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0007",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0007",TRUE,"exists=TRUE; E=0.90000000; B=0.79000000; C=0.62500000; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0007",TRUE,"E-C=0.27500000; o1-c=0.27500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_o0_ge_c_0007",TRUE,"o0=0.05000000; c=0.02500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0007",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0007",TRUE,"limit=0.55037500; K=0.70537500","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0008",TRUE,"enumerated=0.88888889; E=0.88888889","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0008",TRUE,"feasible=TRUE; enumerated=0.77722222; B=0.77722222","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0008",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.61111111","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0008",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0008",TRUE,"exists=TRUE; E=0.88888889; B=0.77722222; C=0.61111111; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0008",TRUE,"E-C=0.27777778; o1-c=0.27777778","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_o0_ge_c_0008",TRUE,"o0=0.05000000; c=0.02222222","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0008",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0008",TRUE,"limit=0.54800000; K=0.70300000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0009",TRUE,"enumerated=0.75000000; E=0.75000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0009",TRUE,"feasible=TRUE; enumerated=0.88000000; B=0.88000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0009",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.70000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0009",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_N3_TY_0009",TRUE,"value=0.88000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0009",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0009",TRUE,"limit=0.48625000; K=0.64125000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0010",TRUE,"enumerated=0.66666667; E=0.66666667","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0010",TRUE,"feasible=TRUE; enumerated=0.72166667; B=0.72166667","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0010",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.53333333","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0010",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0010",TRUE,"exists=FALSE; E=0.66666667; B=0.72166667; C=0.53333333; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0010",TRUE,"E-C=0.13333333; o1-c=0.13333333","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0010",TRUE,"cutoff=0.18918919; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0010",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0010",TRUE,"limit=0.41500000; K=0.57000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0011",TRUE,"enumerated=0.75000000; E=0.75000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0011",TRUE,"feasible=TRUE; enumerated=0.75500000; B=0.75500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0011",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.57500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0011",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0011",TRUE,"exists=FALSE; E=0.75000000; B=0.75500000; C=0.57500000; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0011",TRUE,"E-C=0.17500000; o1-c=0.17500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0011",TRUE,"cutoff=0.10714286; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0011",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0011",TRUE,"limit=0.37937500; K=0.53437500","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0012",TRUE,"enumerated=0.70000000; E=0.70000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0012",TRUE,"feasible=TRUE; enumerated=0.68500000; B=0.68500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0012",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.50000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0012",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0012",TRUE,"exists=TRUE; E=0.70000000; B=0.68500000; C=0.50000000; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0012",TRUE,"E-C=0.20000000; o1-c=0.20000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0012",TRUE,"cutoff=0.07692308; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0012",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0012",TRUE,"limit=0.35800000; K=0.51300000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0013",TRUE,"enumerated=0.75000000; E=0.75000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0013",TRUE,"feasible=TRUE; enumerated=0.71333333; B=0.71333333","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0013",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.53333333","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0013",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0013",TRUE,"exists=TRUE; E=0.75000000; B=0.71333333; C=0.53333333; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0013",TRUE,"E-C=0.21666667; o1-c=0.21666667","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0013",TRUE,"cutoff=0.04761905; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0013",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0013",TRUE,"limit=0.34375000; K=0.49875000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0014",TRUE,"enumerated=0.71428571; E=0.71428571","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0014",TRUE,"feasible=TRUE; enumerated=0.66928571; B=0.66928571","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0014",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.48571429","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0014",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0014",TRUE,"exists=TRUE; E=0.71428571; B=0.66928571; C=0.48571429; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0014",TRUE,"E-C=0.22857143; o1-c=0.22857143","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0014",TRUE,"cutoff=0.03225806; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0014",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0014",TRUE,"limit=0.33357143; K=0.48857143","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0015",TRUE,"enumerated=0.75000000; E=0.75000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0015",TRUE,"feasible=TRUE; enumerated=0.69250000; B=0.69250000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0015",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.51250000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0015",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0015",TRUE,"exists=TRUE; E=0.75000000; B=0.69250000; C=0.51250000; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0015",TRUE,"E-C=0.23750000; o1-c=0.23750000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0015",TRUE,"cutoff=0.01785714; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0015",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0015",TRUE,"limit=0.32593750; K=0.48093750","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0016",TRUE,"enumerated=0.72222222; E=0.72222222","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0016",TRUE,"feasible=TRUE; enumerated=0.66055556; B=0.66055556","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0016",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.47777778","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0016",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0016",TRUE,"exists=TRUE; E=0.72222222; B=0.66055556; C=0.47777778; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0016",TRUE,"E-C=0.24444444; o1-c=0.24444444","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0016",TRUE,"cutoff=0.00826446; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0016",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0016",TRUE,"limit=0.32000000; K=0.47500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0017",TRUE,"enumerated=0.55000000; E=0.55000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0017",TRUE,"feasible=TRUE; enumerated=0.90000000; B=0.90000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0017",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.70000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0017",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_N3_TY_0017",TRUE,"value=0.90000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0017",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0017",TRUE,"limit=0.31525000; K=0.47025000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0018",TRUE,"enumerated=0.40000000; E=0.40000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0018",TRUE,"feasible=TRUE; enumerated=0.61500000; B=0.61500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0018",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.40000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0018",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0018",TRUE,"exists=FALSE; E=0.40000000; B=0.61500000; C=0.40000000; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0018",TRUE,"E-C=0.00000000; o1-c=0.00000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0018",TRUE,"cutoff=0.71428571; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0018",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0018",TRUE,"limit=0.18700000; K=0.34200000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0019",TRUE,"enumerated=0.55000000; E=0.55000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0019",TRUE,"feasible=TRUE; enumerated=0.67500000; B=0.67500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0019",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.47500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0019",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0019",TRUE,"exists=FALSE; E=0.55000000; B=0.67500000; C=0.47500000; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0019",TRUE,"E-C=0.07500000; o1-c=0.07500000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0019",TRUE,"cutoff=0.35000000; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0019",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0019",TRUE,"limit=0.12287500; K=0.27787500","2026-08-04","Goal 3 PBE-UD analytical rederivation"
