"test_id","status","detail"
"U2_BALLOT_PURE_EXHAUSTIVE","PASS","15240 pure profiles matched the analytic correspondence"
"U2_MIXED_N3_below_o0_positive_mix","PASS","expected=TRUE actual=TRUE"
"U2_MIXED_N3_separating_offpath_high_belief","PASS","expected=TRUE actual=TRUE"
"U2_MIXED_N3_separating_positive_low_mass_forces_yes","PASS","expected=FALSE actual=FALSE"
"U2_MIXED_N4_two_zero_coordination","PASS","expected=TRUE actual=TRUE"
"U2_MIXED_N5_two_zero_one_mixed","PASS","expected=TRUE actual=TRUE"
"U2_MIXED_N5_single_zero_excluded","PASS","expected=FALSE actual=FALSE"
"U2_MIXED_pooling_forces_all_yes","PASS","expected=TRUE actual=TRUE"
"U2_MIXED_pooling_partial_mix_fails","PASS","expected=FALSE actual=FALSE"
"U2_MIXED_low_threshold_equality_yes","PASS","expected=TRUE actual=TRUE"
"U2_MIXED_high_threshold_equality_yes","PASS","expected=TRUE actual=TRUE"
"U2_PAYOFF_VECTOR_ACCOUNTING","PASS","250 random proposals passed type/player accounting checks"
"U2_N3_PROPOSAL_CONSTRUCTIONS","PASS","78 separating candidates and all pooling floors passed"
"U2_NGE4_COORDINATED_FAILURE","PASS","135 population/threshold/posterior cases passed"
"U2_NGE4_POSITIVE_RANGE_CONSTRUCTION","PASS","42 values in [0,max{G,L}] were explicitly constructed"
"U2_ZERO_TIE_BREAK_BOUNDARIES","PASS","coordinated failure and zero-residual low-only boundary match the outside benchmark"
"U2_UNIFORM_RECOGNITION_FULL_VECTOR","PASS","identity-asymmetric proposer vectors averaged with probability 1/m"
"U2_NATIVE_DATE_NO_INTERNAL_DISCOUNT","PASS","Round-2 payoff functions are invariant to an unused dummy discount"
