"mu","selected_candidate","selected_value","selected_weak_entry","Delta_P","Delta_L","Delta_D","selected_Delta_H"
0,"low_only",0.1025,0.0383333333333333,0.33,0.19,-0.02,0.19
0.25,"low_only",0.080625,0.0325,0.2425,0.1375,-0.02,0.1375
0.5,"pooling",0.14125,0.0266666666666667,0.155,0.0850000000000001,-0.02,0.155
0.75,"pooling",0.155,0.0266666666666667,0.0675,0.0325,0.0325,0.0675
0.95,"pooling",0.155,0.0266666666666667,-0.0025,-0.00950000000000001,-0.00950000000000002,-0.0025
1,"pooling",0.155,0.0266666666666667,-0.02,-0.02,-0.02,-0.02
