"check_id","domain","pass","detail"
"G0.2_N4_M_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N5_U_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N5_U_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N5_U_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N5_M_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N5_M_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N5_M_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N6_U_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N6_U_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N6_U_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N6_M_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N6_M_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N6_M_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N7_U_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N7_U_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N7_U_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N7_M_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N7_M_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N7_M_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N8_U_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N8_U_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N8_U_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N8_M_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N8_M_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N8_M_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N9_U_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N9_U_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N9_U_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N9_M_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N9_M_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N9_M_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N10_U_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N10_U_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N10_U_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N10_M_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N10_M_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N10_M_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.4a_N3_U","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N3_M","R1 H exact threshold",TRUE,"failure_feasible=FALSE; min_delta=0.000; max_delta=0.000"
"G0.4a_N4_U","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N4_M","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N5_U","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N5_M","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N6_U","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N6_M","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N7_U","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N7_M","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N8_U","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N8_M","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N9_U","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N9_M","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N10_U","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4a_N10_M","R1 H exact threshold",TRUE,"failure_feasible=TRUE; min_delta=-0.040; max_delta=0.000"
"G0.4b_U_pooling_counterexample","R1 H exact-threshold caveat",TRUE,"implementation_delta=0.000; failure_delta=0.080"
"G0.3_x0.1","scalar weak voter",TRUE,"min_delta=-0.100; max_delta=-0.000"
"G0.3_x0.2","scalar weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.3_x0.3","scalar weak voter",TRUE,"min_delta=0.000; max_delta=0.100"
