"check_id","domain","pass","detail"
"G0.1_N3_U_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N3_U_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N3_M_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N3_M_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N3_M_HFALSE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N3_M_HFALSE_x0.2","terminal weak voter",TRUE,"min_delta=0.200; max_delta=0.200"
"G0.1_N4_U_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N4_U_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N4_M_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N4_M_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N4_M_HFALSE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N4_M_HFALSE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N5_U_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N5_U_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N5_M_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N5_M_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N5_M_HFALSE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N5_M_HFALSE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N6_U_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N6_U_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N6_M_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N6_M_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N6_M_HFALSE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N6_M_HFALSE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N7_U_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N7_U_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N7_M_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N7_M_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N7_M_HFALSE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N7_M_HFALSE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N8_U_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N8_U_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N8_M_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N8_M_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N8_M_HFALSE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N8_M_HFALSE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N9_U_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N9_U_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N9_M_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N9_M_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N9_M_HFALSE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N9_M_HFALSE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N10_U_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N10_U_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N10_M_HTRUE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N10_M_HTRUE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.1_N10_M_HFALSE_x0","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.1_N10_M_HFALSE_x0.2","terminal weak voter",TRUE,"min_delta=0.000; max_delta=0.200"
"G0.2_N3_U_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N3_U_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N3_U_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N3_M_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=-0.100"
"G0.2_N3_M_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N3_M_y0.5","terminal H",TRUE,"min_delta=0.100; max_delta=0.100"
"G0.2_N4_U_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N4_U_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
"G0.2_N4_U_y0.5","terminal H",TRUE,"min_delta=0.000; max_delta=0.100"
"G0.2_N4_M_y0.3","terminal H",TRUE,"min_delta=-0.100; max_delta=0.000"
"G0.2_N4_M_y0.4","terminal H",TRUE,"min_delta=0.000; max_delta=0.000"
