"beta","t0","t1","o","mu2_star","a0_1","a1","no_cheap_H_margin","candidate_pattern","any_H_prefers_U","interior_Delta_crossing","mu_share_H_prefers_U","max_V_W_U","min_entry_gap_M_minus_U"
0.6,0.25,0.33,0,0.106666666666667,0.298,0.33,0.2,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0585,0.0248333333333333
0.65,0.25,0.33,0,0.106666666666667,0.302,0.33,0.195833333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0581666666666667,0.0251666666666667
0.7,0.25,0.33,0,0.106666666666667,0.306,0.33,0.191666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0578333333333333,0.0255
0.75,0.25,0.33,0,0.106666666666667,0.31,0.33,0.1875,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0575,0.0258333333333333
0.8,0.25,0.33,0,0.106666666666667,0.314,0.33,0.183333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0571666666666667,0.0261666666666667
0.85,0.25,0.33,0,0.106666666666667,0.318,0.33,0.179166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0568333333333333,0.0265
0.9,0.25,0.33,0,0.106666666666667,0.322,0.33,0.175,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0565,0.0268333333333333
0.45,0.3,0.38,0,0.114285714285714,0.336,0.38,0.2625,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0553333333333333,0.028
0.5,0.3,0.38,0,0.114285714285714,0.34,0.38,0.258333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.055,0.0283333333333333
0.55,0.3,0.38,0,0.114285714285714,0.344,0.38,0.254166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0546666666666667,0.0286666666666667
0.6,0.3,0.38,0,0.114285714285714,0.348,0.38,0.25,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0543333333333333,0.029
0.65,0.3,0.38,0,0.114285714285714,0.352,0.38,0.245833333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.054,0.0293333333333333
0.7,0.3,0.38,0,0.114285714285714,0.356,0.38,0.241666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0536666666666667,0.0296666666666667
0.75,0.3,0.38,0,0.114285714285714,0.36,0.38,0.2375,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0533333333333333,0.03
0.8,0.3,0.38,0,0.114285714285714,0.364,0.38,0.233333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.053,0.0303333333333333
0.85,0.3,0.38,0,0.114285714285714,0.368,0.38,0.229166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0526666666666667,0.0306666666666667
0.9,0.3,0.38,0,0.114285714285714,0.372,0.38,0.225,"delay_plus_pooling",TRUE,FALSE,0.983016983016983,0.0525,0.0308333333333333
0.45,0.35,0.43,0,0.123076923076923,0.386,0.43,0.3125,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0511666666666667,0.0321666666666667
0.5,0.35,0.43,0,0.123076923076923,0.39,0.43,0.308333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0508333333333333,0.0325
0.55,0.35,0.43,0,0.123076923076923,0.394,0.43,0.304166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0505,0.0328333333333333
0.6,0.35,0.43,0,0.123076923076923,0.398,0.43,0.3,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0501666666666667,0.0331666666666667
0.65,0.35,0.43,0,0.123076923076923,0.402,0.43,0.295833333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0498333333333333,0.0335
0.7,0.35,0.43,0,0.123076923076923,0.406,0.43,0.291666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0495,0.0338333333333333
0.75,0.35,0.43,0,0.123076923076923,0.41,0.43,0.2875,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0491666666666667,0.0341666666666667
0.8,0.35,0.43,0,0.123076923076923,0.414,0.43,0.283333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0488333333333333,0.0345
0.85,0.35,0.43,0,0.123076923076923,0.418,0.43,0.279166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0485,0.0348333333333333
0.9,0.35,0.43,0,0.123076923076923,0.422,0.43,0.275,"delay_plus_pooling",TRUE,FALSE,0.973026973026973,0.04875,0.0345833333333333
0.45,0.4,0.48,0,0.133333333333333,0.436,0.48,0.3625,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.047,0.0363333333333333
0.5,0.4,0.48,0,0.133333333333333,0.44,0.48,0.358333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0466666666666667,0.0366666666666667
0.55,0.4,0.48,0,0.133333333333333,0.444,0.48,0.354166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0463333333333333,0.037
0.6,0.4,0.48,0,0.133333333333333,0.448,0.48,0.35,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.046,0.0373333333333333
0.65,0.4,0.48,0,0.133333333333333,0.452,0.48,0.345833333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0456666666666667,0.0376666666666667
0.7,0.4,0.48,0,0.133333333333333,0.456,0.48,0.341666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0453333333333333,0.038
0.75,0.4,0.48,0,0.133333333333333,0.46,0.48,0.3375,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.045,0.0383333333333333
0.8,0.4,0.48,0,0.133333333333333,0.464,0.48,0.333333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0446666666666667,0.0386666666666667
0.85,0.4,0.48,0,0.133333333333333,0.468,0.48,0.329166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0443333333333333,0.039
0.9,0.4,0.48,0,0.133333333333333,0.472,0.48,0.325,"delay_plus_pooling",TRUE,FALSE,0.961038961038961,0.045,0.0383333333333333
0.45,0.1,0.21,0,0.122222222222222,0.1495,0.21,0.0625,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.070875,0.0124583333333333
0.5,0.1,0.21,0,0.122222222222222,0.155,0.21,0.0583333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0704166666666667,0.0129166666666667
0.55,0.1,0.21,0,0.122222222222222,0.1605,0.21,0.0541666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0699583333333333,0.013375
0.6,0.1,0.21,0,0.122222222222222,0.166,0.21,0.05,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0695,0.0138333333333333
0.65,0.1,0.21,0,0.122222222222222,0.1715,0.21,0.0458333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0690416666666667,0.0142916666666667
0.7,0.1,0.21,0,0.122222222222222,0.177,0.21,0.0416666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0685833333333333,0.01475
0.75,0.1,0.21,0,0.122222222222222,0.1825,0.21,0.0375,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.068125,0.0152083333333333
0.8,0.1,0.21,0,0.122222222222222,0.188,0.21,0.0333333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0676666666666667,0.0156666666666667
0.85,0.1,0.21,0,0.122222222222222,0.1935,0.21,0.0291666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0672083333333333,0.016125
0.9,0.1,0.21,0,0.122222222222222,0.199,0.21,0.025,"delay_plus_pooling",TRUE,FALSE,0.974025974025974,0.0675,0.0158333333333333
