"case","beta","t0","t1","o0","o1","a0_1","a1","W_U_max","W_M","min_entry_gap","mu_H","selected_candidates"
"baseline",0.9,0.19,0.285,0.19,0.285,0.2565,0.2565,0.0619583333333333,0.0833333333333333,0.021375,0.7,"pooling"
"lower_beta",0.8,0.19,0.285,0.19,0.285,0.228,0.228,0.0643333333333333,0.0833333333333333,0.019,0.4,"pooling"
"higher_beta",0.98,0.19,0.285,0.19,0.285,0.2793,0.2793,0.06615,0.0833333333333333,0.0171833333333333,0.117209791154109,"rejection"
"higher_t1",0.9,0.19,0.305,0.19,0.285,0.2745,0.2765,0.06075,0.0833333333333333,0.0225833333333333,0.00743642974966642,"rejection;pooling"
"lower_o1",0.9,0.19,0.285,0.19,0.265,0.2565,0.2585,0.0619583333333333,0.0833333333333333,0.021375,0.721052631578947,"low_only;pooling"
