"beta","t0","t1","o0","o1","valid","core_conditions","low_only_some_mu","pooling_some_mu","min_entry_gap","mu_H","selected_candidates"
0.8995,0.1895,0.2845,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213256458333333,0.7201868421,"low_only;pooling"
0.9,0.1895,0.2845,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213375,0.7215789474,"low_only;pooling"
0.9005,0.1895,0.2845,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213493541666667,0.7229710526,"low_only;pooling"
0.8995,0.19,0.2845,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213298333333333,0.7187063492,"low_only;pooling"
0.9,0.19,0.2845,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213416666666667,0.7201058201,"low_only;pooling"
0.9005,0.19,0.2845,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213535,0.721505291,"low_only;pooling"
0.8995,0.1905,0.2845,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213340208333333,0.7172101064,"low_only;pooling"
0.9,0.1905,0.2845,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213458333333333,0.7186170213,"low_only;pooling"
0.9005,0.1905,0.2845,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213576458333333,0.7200239362,"low_only;pooling"
0.8995,0.1895,0.285,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.021363125,0.7216518325,"low_only;pooling"
0.9,0.1895,0.285,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.021375,0.7230366492,"low_only;pooling"
0.9005,0.1895,0.285,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.021386875,0.724421466,"low_only;pooling"
0.8995,0.19,0.285,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213673125,0.7201868421,"low_only;pooling"
0.9,0.19,0.285,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213791666666667,0.7215789474,"low_only;pooling"
0.9005,0.19,0.285,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213910208333333,0.7229710526,"low_only;pooling"
0.8995,0.1905,0.285,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213715,0.7187063492,"low_only;pooling"
0.9,0.1905,0.285,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213833333333333,0.7201058201,"low_only;pooling"
0.9005,0.1905,0.285,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213951666666667,0.721505291,"low_only;pooling"
0.8995,0.1895,0.2855,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0214006041666667,0.7231015625,"low_only;pooling"
0.9,0.1895,0.2855,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0214125,0.7244791667,"low_only;pooling"
0.9005,0.1895,0.2855,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0214243958333333,0.7258567708,"low_only;pooling"
0.8995,0.19,0.2855,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0214047916666667,0.7216518325,"low_only;pooling"
0.9,0.19,0.2855,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0214166666666667,0.7230366492,"low_only;pooling"
0.9005,0.19,0.2855,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0214285416666667,0.724421466,"low_only;pooling"
0.8995,0.1905,0.2855,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0214089791666667,0.7201868421,"low_only;pooling"
0.9,0.1905,0.2855,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0214208333333333,0.7215789474,"low_only;pooling"
0.9005,0.1905,0.2855,0.1895,0.2645,TRUE,TRUE,TRUE,TRUE,0.0214326875,0.7229710526,"low_only;pooling"
0.8995,0.1895,0.2845,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213214583333333,0.7201868421,"low_only;pooling"
0.9,0.1895,0.2845,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213333333333333,0.7215789474,"low_only;pooling"
0.9005,0.1895,0.2845,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213452083333333,0.7229710526,"low_only;pooling"
0.8995,0.19,0.2845,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213256458333333,0.7187063492,"low_only;pooling"
0.9,0.19,0.2845,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213375,0.7201058201,"low_only;pooling"
0.9005,0.19,0.2845,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213493541666667,0.721505291,"low_only;pooling"
0.8995,0.1905,0.2845,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213298333333333,0.7172101064,"low_only;pooling"
0.9,0.1905,0.2845,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213416666666667,0.7186170213,"low_only;pooling"
0.9005,0.1905,0.2845,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213535,0.7200239362,"low_only;pooling"
0.8995,0.1895,0.285,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213589375,0.7216518325,"low_only;pooling"
0.9,0.1895,0.285,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213708333333333,0.7230366492,"low_only;pooling"
0.9005,0.1895,0.285,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.0213827291666667,0.724421466,"low_only;pooling"
0.8995,0.19,0.285,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.021363125,0.7201868421,"low_only;pooling"
0.9,0.19,0.285,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.021375,0.7215789474,"low_only;pooling"
0.9005,0.19,0.285,0.19,0.2645,TRUE,TRUE,TRUE,TRUE,0.021386875,0.7229710526,"low_only;pooling"
