"o","branch","gap"
0.164,"H included under majority",-0.38358
0.165,"H included under majority",-0.383175
0.166,"H included under majority",-0.38277
0.167,"H included under majority",-0.382365
0.168,"H included under majority",-0.38196
0.169,"H included under majority",-0.381555
0.17,"H included under majority",-0.38115
0.171,"H included under majority",-0.380745
0.172,"H included under majority",-0.38034
0.173,"H included under majority",-0.379935
0.174,"H included under majority",-0.37953
0.175,"H included under majority",-0.379125
0.176,"H included under majority",-0.37872
0.177,"H included under majority",-0.378315
0.178,"H included under majority",-0.37791
0.179,"H included under majority",-0.377505
0.18,"H included under majority",-0.3771
0.181,"H included under majority",-0.376695
0.182,"H included under majority",-0.37629
0.183,"H included under majority",-0.375885
0.184,"H included under majority",-0.37548
0.185,"H included under majority",-0.375075
0.186,"H included under majority",-0.37467
0.187,"H included under majority",-0.374265
0.188,"H included under majority",-0.37386
0.189,"H included under majority",-0.373455
0.19,"H included under majority",-0.37305
0.191,"H included under majority",-0.372645
0.192,"H included under majority",-0.37224
0.193,"H included under majority",-0.371835
0.194,"H included under majority",-0.37143
0.195,"H included under majority",-0.371025
0.196,"H included under majority",-0.37062
0.197,"H included under majority",-0.370215
0.198,"H included under majority",-0.36981
0.199,"H included under majority",-0.369405
0.2,"H included under majority",-0.369
0.201,"H included under majority",-0.368595
0.202,"H included under majority",-0.36819
0.203,"H included under majority",-0.367785
0.204,"H included under majority",-0.36738
0.205,"H included under majority",-0.366975
0.206,"H included under majority",-0.36657
0.207,"H included under majority",-0.366165
0.208,"H included under majority",-0.36576
0.209,"H included under majority",-0.365355
0.21,"H included under majority",-0.36495
0.211,"H included under majority",-0.364545
0.212,"H included under majority",-0.36414
0.213,"H included under majority",-0.363735
0.214,"H included under majority",-0.36333
0.215,"H included under majority",-0.362925
0.216,"H included under majority",-0.36252
0.217,"H included under majority",-0.362115
0.218,"H included under majority",-0.36171
0.219,"H included under majority",-0.361305
0.22,"H included under majority",-0.3609
0.221,"H included under majority",-0.360495
0.222,"H included under majority",-0.36009
0.223,"H included under majority",-0.359685
0.224,"H included under majority",-0.35928
0.225,"H included under majority",-0.358875
0.226,"H included under majority",-0.35847
0.227,"H included under majority",-0.358065
0.228,"H included under majority",-0.35766
0.229,"H included under majority",-0.357255
0.23,"H included under majority",-0.35685
0.231,"H included under majority",-0.356445
0.232,"H included under majority",-0.35604
0.233,"H included under majority",-0.355635
0.234,"H included under majority",-0.35523
0.235,"H included under majority",-0.354825
0.236,"H included under majority",-0.35442
0.237,"H included under majority",-0.354015
0.238,"H included under majority",-0.35361
0.239,"H included under majority",-0.353205
0.24,"H included under majority",-0.3528
0.241,"H included under majority",-0.352395
0.242,"H included under majority",-0.35199
0.243,"H included under majority",-0.351585
0.244,"H included under majority",-0.35118
0.245,"H included under majority",-0.350775
0.246,"H included under majority",-0.35037
0.247,"H included under majority",-0.349965
0.248,"H included under majority",-0.34956
