"o","branch","gap"
0.600077466049383,"H excluded; majority agreement",0.0360627475
0.601080524691358,"H excluded; majority agreement",0.036875225
0.602083583333333,"H excluded; majority agreement",0.0376877025000001
0.603086641975309,"H excluded; majority agreement",0.03850018
0.604089700617284,"H excluded; majority agreement",0.0393126575
0.605092759259259,"H excluded; majority agreement",0.040125135
0.606095817901235,"H excluded; majority agreement",0.0409376125
0.60709887654321,"H excluded; majority agreement",0.0417500900000001
0.608101935185185,"H excluded; majority agreement",0.0425625675
0.60910499382716,"H excluded; majority agreement",0.043375045
0.610108052469136,"H excluded; majority agreement",0.0441875225
0.611111111111111,"H excluded; majority agreement",0.045
0.611111111111111,"Majority delay",0.045
0.612666666666667,"Majority delay",0.04486
0.614222222222222,"Majority delay",0.04472
0.615777777777778,"Majority delay",0.04458
0.617333333333333,"Majority delay",0.04444
0.618888888888889,"Majority delay",0.0443
0.620444444444444,"Majority delay",0.04416
0.622,"Majority delay",0.04402
0.623555555555556,"Majority delay",0.04388
0.625111111111111,"Majority delay",0.04374
0.626666666666667,"Majority delay",0.0436
0.628222222222222,"Majority delay",0.04346
0.629777777777778,"Majority delay",0.04332
0.631333333333333,"Majority delay",0.04318
0.632888888888889,"Majority delay",0.04304
0.634444444444444,"Majority delay",0.0429
0.636,"Majority delay",0.04276
0.637555555555556,"Majority delay",0.04262
0.639111111111111,"Majority delay",0.04248
0.640666666666667,"Majority delay",0.04234
0.642222222222222,"Majority delay",0.0422
0.643777777777778,"Majority delay",0.04206
0.645333333333333,"Majority delay",0.04192
0.646888888888889,"Majority delay",0.04178
0.648444444444444,"Majority delay",0.04164
0.65,"Majority delay",0.0415
0.651555555555556,"Majority delay",0.04136
0.653111111111111,"Majority delay",0.04122
0.654666666666667,"Majority delay",0.04108
0.656222222222222,"Majority delay",0.04094
0.657777777777778,"Majority delay",0.0408
0.659333333333333,"Majority delay",0.04066
0.660888888888889,"Majority delay",0.04052
0.662444444444445,"Majority delay",0.04038
0.664,"Majority delay",0.04024
0.665555555555556,"Majority delay",0.0401
0.667111111111111,"Majority delay",0.03996
0.668666666666667,"Majority delay",0.03982
0.670222222222222,"Majority delay",0.03968
0.671777777777778,"Majority delay",0.03954
0.673333333333333,"Majority delay",0.0394
0.674888888888889,"Majority delay",0.03926
0.676444444444445,"Majority delay",0.03912
0.678,"Majority delay",0.03898
0.679555555555556,"Majority delay",0.03884
0.681111111111111,"Majority delay",0.0387
0.682666666666667,"Majority delay",0.03856
0.684222222222222,"Majority delay",0.03842
0.685777777777778,"Majority delay",0.03828
0.687333333333333,"Majority delay",0.03814
0.688888888888889,"Majority delay",0.038
0.690444444444444,"Majority delay",0.03786
0.692,"Majority delay",0.03772
0.693555555555556,"Majority delay",0.03758
0.695111111111111,"Majority delay",0.03744
0.696666666666667,"Majority delay",0.0373
0.698222222222222,"Majority delay",0.03716
0.699777777777778,"Majority delay",0.03702
0.701333333333333,"Majority delay",0.03688
0.702888888888889,"Majority delay",0.03674
0.704444444444444,"Majority delay",0.0366
0.706,"Majority delay",0.03646
0.707555555555556,"Majority delay",0.03632
0.709111111111111,"Majority delay",0.03618
0.710666666666667,"Majority delay",0.03604
0.712222222222222,"Majority delay",0.0359
0.713777777777778,"Majority delay",0.03576
0.715333333333333,"Majority delay",0.03562
0.716888888888889,"Majority delay",0.03548
0.718444444444444,"Majority delay",0.03534
0.72,"Majority delay",0.0352
0.721555555555556,"Majority delay",0.03506
0.723111111111111,"Majority delay",0.03492
0.724666666666667,"Majority delay",0.03478
0.726222222222222,"Majority delay",0.03464
0.727777777777778,"Majority delay",0.0345
0.729333333333333,"Majority delay",0.03436
0.730888888888889,"Majority delay",0.03422
0.732444444444444,"Majority delay",0.03408
0.734,"Majority delay",0.03394
0.735555555555556,"Majority delay",0.0338
0.737111111111111,"Majority delay",0.03366
0.738666666666667,"Majority delay",0.03352
0.740222222222222,"Majority delay",0.03338
0.741777777777778,"Majority delay",0.03324
0.743333333333333,"Majority delay",0.0331
0.744888888888889,"Majority delay",0.03296
0.746444444444444,"Majority delay",0.03282
0.748,"Majority delay",0.03268
0.749555555555556,"Majority delay",0.03254
0.751111111111111,"Majority delay",0.0324
0.752666666666667,"Majority delay",0.03226
0.754222222222222,"Majority delay",0.03212
0.755777777777778,"Majority delay",0.03198
0.757333333333333,"Majority delay",0.03184
0.758888888888889,"Majority delay",0.0317
0.760444444444444,"Majority delay",0.03156
0.762,"Majority delay",0.03142
0.763555555555556,"Majority delay",0.03128
0.765111111111111,"Majority delay",0.03114
0.766666666666667,"Majority delay",0.031
0.768222222222222,"Majority delay",0.03086
0.769777777777778,"Majority delay",0.03072
0.771333333333333,"Majority delay",0.03058
0.772888888888889,"Majority delay",0.03044
0.774444444444444,"Majority delay",0.0303
0.776,"Majority delay",0.03016
0.777555555555556,"Majority delay",0.03002
0.779111111111111,"Majority delay",0.02988
0.780666666666667,"Majority delay",0.02974
0.782222222222222,"Majority delay",0.0296
0.783777777777778,"Majority delay",0.02946
0.785333333333333,"Majority delay",0.02932
0.786888888888889,"Majority delay",0.02918
0.788444444444445,"Majority delay",0.02904
0.79,"Majority delay",0.0289
0.791555555555556,"Majority delay",0.02876
0.793111111111111,"Majority delay",0.02862
0.794666666666667,"Majority delay",0.02848
0.796222222222222,"Majority delay",0.02834
0.797777777777778,"Majority delay",0.0282
0.799333333333333,"Majority delay",0.02806
0.800888888888889,"Majority delay",0.02792
0.802444444444445,"Majority delay",0.02778
0.804,"Majority delay",0.02764
0.805555555555556,"Majority delay",0.0275
0.807111111111111,"Majority delay",0.02736
0.808666666666667,"Majority delay",0.02722
0.810222222222222,"Majority delay",0.02708
0.811777777777778,"Majority delay",0.02694
0.813333333333333,"Majority delay",0.0268
0.814888888888889,"Majority delay",0.02666
0.816444444444444,"Majority delay",0.02652
0.818,"Majority delay",0.02638
0.819555555555556,"Majority delay",0.02624
0.821111111111111,"Majority delay",0.0261
0.822666666666667,"Majority delay",0.02596
0.824222222222222,"Majority delay",0.02582
0.825777777777778,"Majority delay",0.02568
0.827333333333333,"Majority delay",0.02554
0.828888888888889,"Majority delay",0.0254
0.830444444444444,"Majority delay",0.02526
0.832,"Majority delay",0.02512
0.833555555555556,"Majority delay",0.02498
0.835111111111111,"Majority delay",0.02484
0.836666666666667,"Majority delay",0.0247
0.838222222222222,"Majority delay",0.02456
0.839777777777778,"Majority delay",0.02442
0.841333333333333,"Majority delay",0.02428
0.842888888888889,"Majority delay",0.02414
0.844444444444444,"Majority delay",0.024
0.846,"Majority delay",0.02386
0.847555555555556,"Majority delay",0.02372
0.849111111111111,"Majority delay",0.02358
0.850666666666667,"Majority delay",0.02344
0.852222222222222,"Majority delay",0.0233
0.853777777777778,"Majority delay",0.02316
0.855333333333333,"Majority delay",0.02302
0.856888888888889,"Majority delay",0.02288
0.858444444444444,"Majority delay",0.02274
0.86,"Majority delay",0.0226
0.861555555555556,"Majority delay",0.02246
0.863111111111111,"Majority delay",0.02232
0.864666666666667,"Majority delay",0.02218
0.866222222222222,"Majority delay",0.02204
0.867777777777778,"Majority delay",0.0219
0.869333333333333,"Majority delay",0.02176
0.870888888888889,"Majority delay",0.02162
0.872444444444444,"Majority delay",0.02148
0.874,"Majority delay",0.02134
0.875555555555556,"Majority delay",0.0212
0.877111111111111,"Majority delay",0.02106
0.878666666666667,"Majority delay",0.02092
0.880222222222222,"Majority delay",0.02078
0.881777777777778,"Majority delay",0.02064
0.883333333333333,"Majority delay",0.0205
0.884888888888889,"Majority delay",0.02036
0.886444444444444,"Majority delay",0.02022
0.888,"Majority delay",0.02008
0.889555555555556,"Majority delay",0.01994
0.891111111111111,"Majority delay",0.0198
0.892666666666667,"Majority delay",0.01966
0.894222222222222,"Majority delay",0.01952
0.895777777777778,"Majority delay",0.01938
0.897333333333333,"Majority delay",0.01924
0.898888888888889,"Majority delay",0.0191
0.900444444444444,"Majority delay",0.01896
0.902,"Majority delay",0.01882
0.903555555555556,"Majority delay",0.01868
0.905111111111111,"Majority delay",0.01854
0.906666666666667,"Majority delay",0.0184
0.908222222222222,"Majority delay",0.01826
0.909777777777778,"Majority delay",0.01812
0.911333333333333,"Majority delay",0.01798
0.912888888888889,"Majority delay",0.01784
0.914444444444444,"Majority delay",0.0177
0.916,"Majority delay",0.01756
0.917555555555556,"Majority delay",0.01742
0.919111111111111,"Majority delay",0.01728
0.920666666666667,"Majority delay",0.01714
0.922222222222222,"Majority delay",0.017
0.923777777777778,"Majority delay",0.01686
0.925333333333333,"Majority delay",0.01672
0.926888888888889,"Majority delay",0.01658
0.928444444444444,"Majority delay",0.01644
0.93,"Majority delay",0.0163
0.931555555555555,"Majority delay",0.01616
0.933111111111111,"Majority delay",0.01602
0.934666666666667,"Majority delay",0.01588
0.936222222222222,"Majority delay",0.01574
0.937777777777778,"Majority delay",0.0156
0.939333333333333,"Majority delay",0.01546
0.940888888888889,"Majority delay",0.01532
0.942444444444444,"Majority delay",0.01518
0.944,"Majority delay",0.01504
0.945555555555555,"Majority delay",0.0149
0.947111111111111,"Majority delay",0.01476
0.948666666666667,"Majority delay",0.01462
0.950222222222222,"Majority delay",0.01448
0.951777777777778,"Majority delay",0.01434
0.953333333333333,"Majority delay",0.0142
0.954888888888889,"Majority delay",0.01406
0.956444444444444,"Majority delay",0.01392
0.958,"Majority delay",0.01378
0.959555555555555,"Majority delay",0.01364
0.961111111111111,"Majority delay",0.0135
0.962666666666667,"Majority delay",0.01336
0.964222222222222,"Majority delay",0.01322
0.965777777777778,"Majority delay",0.01308
0.967333333333333,"Majority delay",0.01294
0.968888888888889,"Majority delay",0.0128
0.970444444444444,"Majority delay",0.01266
0.972,"Majority delay",0.01252
0.973555555555556,"Majority delay",0.01238
0.975111111111111,"Majority delay",0.01224
0.976666666666667,"Majority delay",0.0121
0.978222222222222,"Majority delay",0.01196
0.979777777777778,"Majority delay",0.01182
0.981333333333333,"Majority delay",0.01168
0.982888888888889,"Majority delay",0.01154
0.984444444444444,"Majority delay",0.0114
0.986,"Majority delay",0.01126
0.987555555555556,"Majority delay",0.01112
0.989111111111111,"Majority delay",0.01098
0.990666666666667,"Majority delay",0.01084
0.992222222222222,"Majority delay",0.0107
0.993777777777778,"Majority delay",0.01056
0.995333333333333,"Majority delay",0.01042
0.996888888888889,"Majority delay",0.01028
0.998444444444444,"Majority delay",0.01014
1,"Majority delay",0.01
