"nu","vertical_value","region","hegemon_type","polygon_id","record_type"
0,0.53602928,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.54402912,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.55202896,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.5600288,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.56802864,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.57602848,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.58402832,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.59202816,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.600028,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.60802784,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.61602768,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.62402752,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.63202736,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.6400272,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.64802704,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.65602688,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.66402672,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.67202656,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.6800264,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.68802624,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.69602608,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.70402592,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.71202576,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.7200256,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.72802544,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.73602528,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.74402512,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.75202496,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.7600248,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.76802464,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.77602448,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.78402432,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.79202416,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.800024,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.80802384,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.81602368,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.82402352,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.83202336,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.8400232,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.84802304,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.85602288,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.86402272,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.87202256,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.8800224,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.88802224,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.89602208,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.90402192,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.91202176,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.9200216,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.92802144,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.93602128,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.94402112,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.95202096,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.9600208,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.96802064,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.97602048,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.98402032,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.99202016,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.00002,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.00801984,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.01601968,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.02401952,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.03201936,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.0400192,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.04801904,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.05601888,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.06401872,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.07201856,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.0800184,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.08801824,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.09601808,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.10401792,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.11201776,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.1200176,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.12801744,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.13601728,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.14401712,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.15201696,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.1600168,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.16801664,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.17601648,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.18401632,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.19201616,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.200016,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.20801584,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.21601568,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.22401552,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.23201536,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.2400152,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.24801504,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.25601488,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.26401472,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.27201456,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.2800144,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.28801424,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.29601408,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.30401392,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.31201376,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.3200136,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.32801344,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.33601328,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.34401312,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.35201296,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.3600128,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.36801264,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.37601248,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.38401232,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.39201216,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.400012,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.40801184,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.41601168,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.42401152,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.43201136,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.4400112,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.44801104,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.45601088,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.46401072,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.47201056,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.4800104,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.48801024,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.49601008,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.50400992,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.51200976,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.5200096,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.52800944,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.53600928,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.54400912,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.55200896,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.5600088,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.56800864,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.57600848,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,1.58400832,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
