"nu","vertical_value","region","hegemon_type","polygon_id","record_type"
0,0.13400732,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.13600728,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.13800724,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.1400072,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.14200716,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.14400712,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.14600708,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.14800704,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.150007,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.15200696,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.15400692,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.15600688,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.15800684,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.1600068,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.16200676,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.16400672,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.16600668,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.16800664,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.1700066,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.17200656,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.17400652,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.17600648,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.17800644,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.1800064,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.18200636,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.18400632,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.18600628,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.18800624,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.1900062,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.19200616,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.19400612,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.19600608,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.19800604,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.200006,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.20200596,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.20400592,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.20600588,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.20800584,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2100058,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.21200576,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.21400572,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.21600568,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.21800564,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2200056,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.22200556,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.22400552,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.22600548,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.22800544,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2300054,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.23200536,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.23400532,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.23600528,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.23800524,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2400052,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.24200516,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.24400512,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.24600508,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.24800504,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.250005,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.25200496,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.25400492,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.25600488,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.25800484,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2600048,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.26200476,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.26400472,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.26600468,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.26800464,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2700046,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.27200456,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.27400452,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.27600448,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.27800444,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2800044,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.28200436,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.28400432,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.28600428,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.28800424,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.2900042,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.29200416,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.29400412,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.29600408,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.29800404,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.300004,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.30200396,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.30400392,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.30600388,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.30800384,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.3100038,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.31200376,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.31400372,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.31600368,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.31800364,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.3200036,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.32200356,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.32400352,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.32600348,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.32800344,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.3300034,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.33200336,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.33400332,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.33600328,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.33800324,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.3400032,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.34200316,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,0.34400312,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
