"condition","lhs","rhs","margin","status","row","lhs_text","rhs_text","margin_text"
"Hegemonia do tipo baixo: o_0 versus 1/m",0.1,0.25,-0.15,"abaixo",5,"0.1000","0.2500","-0.1500"
"Hegemonia do tipo alto: o_1 versus 1/m",0.35,0.25,0.1,"acima",4,"0.3500","0.2500","+0.1000"
"N2/N4: nu versus nu_star",0.35,0.277777777777778,0.0722222222222222,"acima",3,"0.3500","0.2778","+0.0722"
"N3: exclusão versus rejeição",0.55,0.225,0.325,"estritamente satisfeita",2,"0.5500","0.2250","+0.3250"
"N4: acordo forçado versus continuação",0.1,0,0.1,"estritamente satisfeita",1,"0.1000","0.0000","+0.1000"
