"o_0","o_1","panel","region"
0.0394335511982571,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.11838779956427,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0262745098039216,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.11838779956427,0.124967320261438,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0262745098039216,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.11838779956427,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.124967320261438,0.131546840958606,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0262745098039216,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.11838779956427,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.124967320261438,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.131546840958606,0.138126361655773,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0262745098039216,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.11838779956427,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.124967320261438,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.131546840958606,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.138126361655773,0.144705882352941,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0262745098039216,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.11838779956427,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.124967320261438,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.131546840958606,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.138126361655773,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.144705882352941,0.151285403050109,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
